Id	norm.dF4Ur1	norm.dF4Ur2	norm.dF4Ur3	norm.dF4Mr1	norm.dF4Mr2	norm.dF4Mr3	norm.dF4M40r1	norm.dF4M40r2	norm.dF4M40r3
Timm10	121	53	26	156	137	91	242	146	125
Timm50	518	203	166	545	349	292	650	257	282
Timm8b	136	68	66	107	106	110	129	101	143
Timm9	147	173	166	324	310	298	392	222	512
Tk2	700	425	371	273	272	223	197	217	105
Tlcd1	48	48	48	119	85	97	117	131	109
Tlr1	539	964	811	150	215	160	126	131	185
Tlr12	108	74	41	13	28	8	12	35	3
Tlr3	7	20	94	7	7	22	4	30	15
Tlr4	109	251	198	81	147	98	55	86	73
Tlr6	82	95	104	24	43	17	15	35	32
Tm6sf1	245	244	207	96	128	95	28	30	18
Tma16	100	231	209	462	512	586	582	414	872
Tmbim1	185	112	90	256	157	171	295	232	220
Tmc3	1	0	1	1	1	7	1	15	4
Tmcc3	216	147	271	81	44	67	80	91	115
Tmed8	689	1113	984	483	632	489	439	489	469
Tmem108	63	22	32	18	16	10	13	45	14
Tmem120b	68	77	53	98	104	63	178	293	184
Tmem140	144	96	151	51	39	88	27	25	52
Tmem147	337	154	103	294	255	133	375	177	158
Tmem173	1434	806	877	325	328	243	504	298	373
Tmem185b	256	214	153	326	278	243	329	267	243
Tmem198b	265	166	152	111	88	70	83	50	32
Tmem2	203	252	202	136	172	117	80	106	69
Tmem229b	716	738	690	355	422	310	246	212	166
Tmem26	60	88	106	16	48	21	9	35	15
Tmem5	167	138	161	210	168	199	232	308	236
Tmem50b	332	335	375	254	245	288	231	61	190
Tmem51	203	30	30	291	68	154	216	55	87
Tmem63a	458	338	244	146	160	121	107	86	68
Tmem71	141	119	119	27	45	45	10	10	8
Tmem97	80	51	54	108	112	81	152	96	144
Tmtc4	31	56	81	124	191	129	85	111	105
Tmx4	206	335	370	154	196	237	122	197	155
Tnf	83	75	88	129	110	145	152	76	198
Tnfaip3	613	1008	853	1402	1868	1667	2190	3672	3229
Tnfaip8l2	1163	270	222	141	105	79	96	40	29
Tnfrsf10b	34	53	44	65	134	94	125	192	135
Tnfrsf21	32	44	40	90	81	66	98	121	79
Tnfrsf23	5	1	9	5	5	15	5	20	17
Tnfrsf8	5	3	5	13	3	13	23	20	26
Tnfrsf9	17	2	12	50	23	34	41	30	20
Tnfsf4	9	12	21	21	43	21	65	166	119
Tnik	15	14	15	20	17	20	8	45	3
Tnnt2	1	3	1	4	0	4	5	25	3
Tnrc6b	2584	3537	3998	1805	2023	2220	1347	1074	1614
Tomm40	1132	412	276	1332	848	513	1661	1544	639
Tomm5	71	39	34	80	108	34	107	202	72
Tomm7	391	151	100	184	170	98	275	177	137
Top1mt	117	61	53	199	145	136	253	126	167
Tpcn1	645	429	376	203	157	156	90	61	55
Tpd52	372	660	518	335	476	434	216	212	245
Tpd52l2	392	349	288	420	442	351	507	509	488
Tpm4	595	800	652	404	593	482	353	323	363
Trac	21	7	12	48	43	58	25	0	18
Traf1	1472	739	972	1786	1510	1340	4175	2608	3243
Traf3ip3	2529	2021	2012	568	746	607	314	252	291
Traf5	1550	731	1418	296	204	497	186	91	410
Treml2	1463	1161	1611	681	801	1201	282	187	487
Trib3	72	26	28	82	103	67	136	353	92
Trim14	454	253	433	155	143	230	87	131	141
Trim16	9	31	24	21	77	52	17	20	12
Trim25	1452	1674	2234	820	800	1382	516	464	944
Trim30b	249	310	1417	48	91	392	17	35	137
Trim34a	640	1074	1283	117	231	541	54	86	248
Trim34b	18	33	32	5	13	7	1	0	1
Trim36	96	192	145	74	76	65	70	76	55
Trim37	180	269	263	424	430	506	468	873	619
Trim46	4	8	3	1	9	4	8	5	1
Trim59	200	608	479	140	281	253	89	111	170
Trmt12	222	157	158	86	97	67	98	177	63
Trmt61a	276	183	125	638	471	285	858	525	357
Trnau1ap	298	186	137	370	282	242	452	555	312
Trp53	1267	897	875	1087	1027	939	1596	1039	1255
Trp53i11	2106	1270	1087	330	365	272	173	86	121
Tsc22d3	1667	2103	536	320	573	201	207	247	130
Tspan13	652	475	436	310	359	324	197	197	143
Tspan32	1709	1304	1090	536	571	462	464	262	372
Tspoap1	198	145	112	94	125	97	105	151	64
Tspyl4	115	112	70	43	45	20	20	25	5
Tsr1	297	580	446	1308	1374	1146	1648	1796	1631
Tsr2	156	123	131	220	199	249	288	247	325
Ttbk1	210	84	54	9	17	7	14	20	0
Ttc27	173	290	239	626	687	591	736	494	727
Ttc28	313	130	186	164	80	110	109	141	73
Ttc38	251	143	92	63	79	39	43	50	20
Ttll1	47	30	28	12	10	11	7	10	14
Ttyh2	17	9	7	11	6	6	6	20	13
Tuba1c	149	102	37	194	263	112	271	288	141
Tubb6	53	14	37	67	35	48	107	30	58
Twnk	213	199	154	409	387	310	485	631	406
Twsg1	182	285	367	765	822	921	501	252	528
Txndc16	649	1315	1193	643	954	974	315	348	318
Txnip	5385	3677	2948	1331	1263	1139	917	701	869
Txnl1	329	278	264	493	449	484	575	479	649
Txnl4a	146	134	124	169	157	114	218	111	197
